Bakerloo;1;Elephant & Castle,Lambeth North,Waterloo,Embankment,Piccadilly Circus,Oxford Circus,Regent's Park,Baker Street,Marylebone,Edgware Road,Paddington,Warwick Avenue,Maida Vale,Kilburn Park,Queen's Park,Kensal Green,Willesden Junction,Harlesden,Stonebridge Park,Wembley Central,North Wembley,South Kenton,Kenton,Harrow & Wealdstone;060000,060107,060142,060236,060340,060434,060547,060637,060706,060746,060833,060950,061044,061141,061238,061417,061548,061712,061903,062058,062238,062344,062524,062726;0,940.699,1423.24,2168.64,3066.38,3813.45,4821.79,5515.25,5928.67,6473.3,7135.72,8204.35,8952.86,9747.53,10536,11912.9,13175.9,14346.7,15884.1,17474.3,18862.3,19791.3,21173.3,22861.6
Bakerloo;2;Harrow & Wealdstone,Kenton,South Kenton,North Wembley,Wembley Central,Stonebridge Park,Harlesden,Willesden Junction,Kensal Green,Queen's Park,Kilburn Park,Maida Vale,Warwick Avenue,Paddington,Edgware Road,Marylebone,Baker Street,Regent's Park,Oxford Circus,Piccadilly Circus,Embankment,Waterloo,Lambeth North,Elephant & Castle;060000,060201,060341,060447,060627,060822,061013,061137,061308,061447,061544,061641,061735,061852,061939,062019,062048,062138,062251,062345,062449,062543,062618,062726;0,1688.24,3070.24,3999.25,5387.22,6977.41,8514.89,9685.64,10948.6,12325.5,13114,13908.7,14657.2,15725.8,16388.3,16932.9,17346.3,18039.8,19048.1,19795.2,20692.9,21438.3,21920.9,22861.6
Bakerloo;3;Elephant & Castle,Lambeth North,Waterloo,Embankment,Piccadilly Circus,Oxford Circus,Regent's Park,Baker Street,Marylebone,Edgware Road,Paddington,Warwick Avenue,Maida Vale,Kilburn Park,Queen's Park,Kensal Green,Willesden Junction,Harlesden,Stonebridge Park,Wembley Central,North Wembley,South Kenton,Kenton,Harrow & Wealdstone;062400,062507,062542,062636,062740,062834,062947,063037,063106,063146,063233,063350,063444,063541,063638,063817,063948,064112,064303,064458,064638,064744,064924,065126;0,940.699,1423.24,2168.64,3066.38,3813.45,4821.79,5515.25,5928.67,6473.3,7135.72,8204.35,8952.86,9747.53,10536,11912.9,13175.9,14346.7,15884.1,17474.3,18862.3,19791.3,21173.3,22861.6
Bakerloo;4;Harrow & Wealdstone,Kenton,South Kenton,North Wembley,Wembley Central,Stonebridge Park,Harlesden,Willesden Junction,Kensal Green,Queen's Park,Kilburn Park,Maida Vale,Warwick Avenue,Paddington,Edgware Road,Marylebone,Baker Street,Regent's Park,Oxford Circus,Piccadilly Circus,Embankment,Waterloo,Lambeth North,Elephant & Castle;062400,062601,062741,062847,063027,063222,063413,063537,063708,063847,063944,064041,064135,064252,064339,064419,064448,064538,064651,064745,064849,064943,065018,065126;0,1688.24,3070.24,3999.25,5387.22,6977.41,8514.89,9685.64,10948.6,12325.5,13114,13908.7,14657.2,15725.8,16388.3,16932.9,17346.3,18039.8,19048.1,19795.2,20692.9,21438.3,21920.9,22861.6
Bakerloo;5;Elephant & Castle,Lambeth North,Waterloo,Embankment,Piccadilly Circus,Oxford Circus,Regent's Park,Baker Street,Marylebone,Edgware Road,Paddington,Warwick Avenue,Maida Vale,Kilburn Park,Queen's Park,Kensal Green,Willesden Junction,Harlesden,Stonebridge Park,Wembley Central,North Wembley,South Kenton,Kenton,Harrow & Wealdstone;064800,064907,064942,065036,065140,065234,065347,065437,065506,065546,065633,065750,065844,065941,070038,070217,070348,070512,070703,070858,071038,071144,071324,071526;0,940.699,1423.24,2168.64,3066.38,3813.45,4821.79,5515.25,5928.67,6473.3,7135.72,8204.35,8952.86,9747.53,10536,11912.9,13175.9,14346.7,15884.1,17474.3,18862.3,19791.3,21173.3,22861.6
Bakerloo;6;Harrow & Wealdstone,Kenton,South Kenton,North Wembley,Wembley Central,Stonebridge Park,Harlesden,Willesden Junction,Kensal Green,Queen's Park,Kilburn Park,Maida Vale,Warwick Avenue,Paddington,Edgware Road,Marylebone,Baker Street,Regent's Park,Oxford Circus,Piccadilly Circus,Embankment,Waterloo,Lambeth North,Elephant & Castle;064800,065001,065141,065247,065427,065622,065813,065937,070108,070247,070344,070441,070535,070652,070739,070819,070848,070938,071051,071145,071249,071343,071418,071526;0,1688.24,3070.24,3999.25,5387.22,6977.41,8514.89,9685.64,10948.6,12325.5,13114,13908.7,14657.2,15725.8,16388.3,16932.9,17346.3,18039.8,19048.1,19795.2,20692.9,21438.3,21920.9,22861.6
Bakerloo;7;Elephant & Castle,Lambeth North,Waterloo,Embankment,Piccadilly Circus,Oxford Circus,Regent's Park,Baker Street,Marylebone,Edgware Road,Paddington,Warwick Avenue,Maida Vale,Kilburn Park,Queen's Park,Kensal Green,Willesden Junction,Harlesden,Stonebridge Park,Wembley Central,North Wembley,South Kenton,Kenton,Harrow & Wealdstone;071200,071307,071342,071436,071540,071634,071747,071837,071906,071946,072033,072150,072244,072341,072438,072617,072748,072912,073103,073258,073438,073544,073724,073926;0,940.699,1423.24,2168.64,3066.38,3813.45,4821.79,5515.25,5928.67,6473.3,7135.72,8204.35,8952.86,9747.53,10536,11912.9,13175.9,14346.7,15884.1,17474.3,18862.3,19791.3,21173.3,22861.6
Bakerloo;8;Harrow & Wealdstone,Kenton,South Kenton,North Wembley,Wembley Central,Stonebridge Park,Harlesden,Willesden Junction,Kensal Green,Queen's Park,Kilburn Park,Maida Vale,Warwick Avenue,Paddington,Edgware Road,Marylebone,Baker Street,Regent's Park,Oxford Circus,Piccadilly Circus,Embankment,Waterloo,Lambeth North,Elephant & Castle;071200,071401,071541,071647,071827,072022,072213,072337,072508,072647,072744,072841,072935,073052,073139,073219,073248,073338,073451,073545,073649,073743,073818,073926;0,1688.24,3070.24,3999.25,5387.22,6977.41,8514.89,9685.64,10948.6,12325.5,13114,13908.7,14657.2,15725.8,16388.3,16932.9,17346.3,18039.8,19048.1,19795.2,20692.9,21438.3,21920.9,22861.6
Bakerloo;9;Elephant & Castle,Lambeth North,Waterloo,Embankment,Piccadilly Circus,Oxford Circus,Regent's Park,Baker Street,Marylebone,Edgware Road,Paddington,Warwick Avenue,Maida Vale,Kilburn Park,Queen's Park,Kensal Green,Willesden Junction,Harlesden,Stonebridge Park,Wembley Central,North Wembley,South Kenton,Kenton,Harrow & Wealdstone;073600,073707,073742,073836,073940,074034,074147,074237,074306,074346,074433,074550,074644,074741,074838,075017,075148,075312,075503,075658,075838,075944,080124,080326;0,940.699,1423.24,2168.64,3066.38,3813.45,4821.79,5515.25,5928.67,6473.3,7135.72,8204.35,8952.86,9747.53,10536,11912.9,13175.9,14346.7,15884.1,17474.3,18862.3,19791.3,21173.3,22861.6
Bakerloo;10;Harrow & Wealdstone,Kenton,South Kenton,North Wembley,Wembley Central,Stonebridge Park,Harlesden,Willesden Junction,Kensal Green,Queen's Park,Kilburn Park,Maida Vale,Warwick Avenue,Paddington,Edgware Road,Marylebone,Baker Street,Regent's Park,Oxford Circus,Piccadilly Circus,Embankment,Waterloo,Lambeth North,Elephant & Castle;073600,073801,073941,074047,074227,074422,074613,074737,074908,075047,075144,075241,075335,075452,075539,075619,075648,075738,075851,075945,080049,080143,080218,080326;0,1688.24,3070.24,3999.25,5387.22,6977.41,8514.89,9685.64,10948.6,12325.5,13114,13908.7,14657.2,15725.8,16388.3,16932.9,17346.3,18039.8,19048.1,19795.2,20692.9,21438.3,21920.9,22861.6
